interval_start_utc,interval_end_utc,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-09 04:00:00+00:00,Western,0,2320,4818,7138
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-10 04:00:00+00:00,Mid Atlantic - Dominion,0,4027,1628,5655
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-10 04:00:00+00:00,PJM RTO,0,5591,6980,12571
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-10 04:00:00+00:00,Western,0,1564,5352,6916
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-11 04:00:00+00:00,Mid Atlantic - Dominion,0,4123,2248,6371
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-11 04:00:00+00:00,PJM RTO,0,6577,7712,14289
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-11 04:00:00+00:00,Western,0,2454,5464,7918
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-12 04:00:00+00:00,Mid Atlantic - Dominion,0,4157,2374,6531
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-12 04:00:00+00:00,PJM RTO,0,6716,8010,14726
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-12 04:00:00+00:00,Western,0,2559,5636,8195
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-13 04:00:00+00:00,Mid Atlantic - Dominion,0,4122,3573,7695
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-13 04:00:00+00:00,PJM RTO,0,6679,9459,16138
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-13 04:00:00+00:00,Western,0,2557,5886,8443
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-14 04:00:00+00:00,Mid Atlantic - Dominion,0,4122,4183,8305
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-14 04:00:00+00:00,PJM RTO,0,7026,10921,17947
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-14 04:00:00+00:00,Western,0,2904,6738,9642
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-15 04:00:00+00:00,Mid Atlantic - Dominion,0,4062,7192,11254
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-15 04:00:00+00:00,PJM RTO,0,7192,16142,23334
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-15 04:00:00+00:00,Western,0,3130,8950,12080
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-10 04:00:00+00:00,Mid Atlantic - Dominion,0,947,1617,2564
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-10 04:00:00+00:00,PJM RTO,0,3097,6593,9690
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-10 04:00:00+00:00,Western,0,2150,4976,7126
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-11 04:00:00+00:00,Mid Atlantic - Dominion,0,1144,2236,3380
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-11 04:00:00+00:00,PJM RTO,0,4260,7273,11533
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-11 04:00:00+00:00,Western,0,3116,5037,8153
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-12 04:00:00+00:00,Mid Atlantic - Dominion,0,1154,2308,3462
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-12 04:00:00+00:00,PJM RTO,0,3767,7684,11451
2025-07-16 04:00:00+00:00,2025-07-17 04:00:00+00:00,2025-07-12 04:00:00+00:00,Western,0,2613,5376,7989
